,req1,req2,BinaryClass,MultiClass,BLabelled,MLabelled
3668,configurations settings;calibration;automatic calibration on schedule toggle,mass audio notification,0,0,A,A
1557,mounting;versatility of mounting is important mounting inserts in the plastic ability to use zip-ties or heavy duty magnets ability to bolt it to a surface,configurations settings;gas settings: same as g7 config,0,0,A,A
2153,calibration and bump test;we would have to have a way to inform any users that a bump or cal is occurring and they are not being monitored the indicator has to be local at the device (for example: sound/yellow blue light) and this will reflect on the portal at the beginning and the end of bump/cal (mode change,satellite and cellular communication options;all transportables should communicate with cellular networks like the g7c this would be the standard offering,0,0,A,A
1527,mounting;versatility of mounting is important mounting inserts in the plastic ability to use zip-ties or heavy duty magnets ability to bolt it to a surface,pump module;[moved to future scope,0,0,A,A
1121,need a visual way to look at a transportable while in the field and see if it is connected to the network green suresafe connectivity light needs to be visible,mounting;the transportable can be hooked to a solar panel in a hazardous zone we’ll want to source our own so that it can be sold with the kit,0,0,A,A
2767,confined space connectivity;for the shutdown/turnaround market the transportable needs to be able to communicate in confined space this may need further field testing/verification and improvement in future iteration,configurations settings;sos latch pull: enable/disable toggle,0,0,A,A
1245,mounting;they are generally fixed to something while transported or during an extended hole watch its reasonable to expect them to be on the ground without a tripod the design should facilitate setting it down on the dirty ground,configurations settings;bump;specify which inlets to use for gas and purge we will need a check here if the pump is set to sample from an inlet as well this would be a conflict,0,0,A,A
2924,pump module;this means that gas alerts need to be accompanied by inlet information for example h2s high gas alert 32 ppm from inlet one,configurations settings;sound:;enable/disable toggle,0,0,A,A
3426,configurations settings;custom name: assigned to the device like naming a dock,configurations settings;bump;automatic bump test on schedule toggle,0,0,A,A
2728,movement detection;if motion detection auto-reset is disabled the user can still choose to set a one time motion detection this should be initiated from the portal once triggered it would need to be reset each time in the portal this set/reset feature could be in the info-bar,battery usage and tracking schedules;perhaps the device collects it’s logs for a period of time while there is no cell connection periodically it connects and dumps the logs (cellular only) if there is an alert it will quickly try to establish cell connection and report the high gas,0,0,A,A
1265,mounting;they are generally fixed to something while transported or during an extended hole watch its reasonable to expect them to be on the ground without a tripod the design should facilitate setting it down on the dirty ground,battery usage and tracking schedules;perhaps the device collects it’s logs for a period of time while there is no cell connection periodically it connects and dumps the logs (cellular only) if there is an alert it will quickly try to establish cell connection and report the high gas,0,0,A,A
3513,configurations settings;pump;maximum hose length: 100 feet minimum 0 feet sample time as a configuration with seconds granularity,configurations settings;connection lost notification: no alarm on device just portal/email/sms,0,0,A,A
2099,calibration and bump test;we would like the ability to pre-set a periodic bumps and cals on a schedule that the transportable would execute on independently,configurations settings;calibration;specify which inlets to use for gas and purge we will need a check here if the pump is set to sample from an inlet as well,0,0,A,A
2225,calibration and bump test;to perform a calibration on certain cartridge configurations the transportable may need to be connected to two or three cylinders multi gas voc and purge this will need to be configured so the transportable knows which inlet to draw from,configurations settings;calibration;ability to not allow calibration while in operation on the field,0,0,A,A
2575,movement detection;setting or enabling movement detection should be initiated from the transportable’s lcd menu;once triggered motion detection would need to be reset,pump module;[moved to future scope,0,0,A,A
2722,movement detection;if motion detection auto-reset is disabled the user can still choose to set a one time motion detection this should be initiated from the portal once triggered it would need to be reset each time in the portal this set/reset feature could be in the info-bar,push-to-talk: the transportable should be capable of ptt;ptt can be toggled on/off from the server,0,0,A,A
3413,satellite and cellular communication options;the satellite communication module should be relatively easy for a field technician to install that way we can easily sell the cellular version to customers and tell them that if that’s not good enough they can always upgrade without shipping back their device,software requirements;alert profile and notification profile pages won’t need to change fundamentally we’ll need to add toggle settings for motion alert and a pump blocked (specify inlet,0,0,A,A
903,external av port(s);it would be possible to have these av ports configurable sending on/off information for different reasons;it would also be possible to have this ports communicate more complex information to some type of external hardware network,pump module;the pump module of the transportable will have four inlets each inlet can draw a sample from a different location but not at the same time,0,0,A,A
2682,movement detection;if motion detection auto-reset is disabled the user can still choose to set a one time motion detection this should be initiated from the portal once triggered it would need to be reset each time in the portal this set/reset feature could be in the info-bar,confined space connectivity;for the shutdown/turnaround market the transportable needs to be able to communicate in confined space this may need further field testing/verification and improvement in future iteration,0,0,A,A
493,battery and run time;the battery pack charge level of the transportable will be sent to the portal so that users can get notifications when a transportable is getting low,satellite and cellular communication options;we would like to have an option upgrade module which would when installed allow the transportable to also communicate with iridium satellites similar to the bridge,0,0,A,A
2287,bluetooth;the transportable will need to work with our existing location beacon products,configurations settings;pump;the device has to be available with or without the pump module,0,0,A,A
2344,bluetooth;related to the bluetooth regulator project the transportable should have the ability to receive cylinder pressure information,satellite and cellular communication options;the satellite communication module should be relatively easy for a field technician to install that way we can easily sell the cellular version to customers and tell them that if that’s not good enough they can always upgrade without shipping back their device,0,0,A,A
1678,"the industrial design needs to be rugged tough bulletproof in both visual perception and application it needs to be a heavy duty piece of equipment not a delicate instrument 
the ground around plants and at field sites is uneven and there is random puddles of liquid everywhere for this reason we may want to have small standoff legs to raise the base of the device up an inch or so off the ground

on a similar note arearae techs told me to make sure the device is not top heavy they said that wind can blow the device over if possible we should avoid this but if it does happen we need to make sure it can’t blow over in such a way that it can rest on the ground covering the sensors",satellite and cellular communication options;we would like to have an option upgrade module which would when installed allow the transportable to also communicate with iridium satellites similar to the bridge,0,0,A,A
3891,configurations settings;lights: enable/disable toggle,software requirements;the transportable will appear on the maps pages with a new icon g7 is a person bridge is a network icon not sure what the transportable should be,0,0,A,A
2625,movement detection;phil b 1/8/19 requirement changed: we will auto reset in the same way the tracking products did barry will define the details;set as part of the transportable configuration profile “movement detection auto-reset” should be an option when toggled on the transportable would always throw a notification when it is moved obviously it would need a buffer between notifications of around 15-30 minutes also it should not throw an notification for the first 30 minutes after it has been powered on the device would need to be powered down while moving it to avoid notifications,movement detection;if motion detection auto-reset is disabled the user can still choose to set a one time motion detection this should be initiated from the portal once triggered it would need to be reset each time in the portal this set/reset feature could be in the info-bar,0,0,A,A
1966,calibration and bump test;bump and cals need to be manually initiated from the device,configurations settings;calibration;specify which inlets to use for gas and purge we will need a check here if the pump is set to sample from an inlet as well,0,0,A,A
2986,pump module;the inlets will need to be configurable over the air via the portal if they are used to sample calibrate zero or purge,voice calling: a call can be placed to the device without setting it into alarm the channel just opens and the person can talk;calls can be made from the device to a set list of phone numbers,0,0,A,A
1385,"mounting;the transportable can be fixed to a survey tripod “typically threaded with a 5/8"" x 11 tpi screw thread” we’ll want to source our own tripod to sell as a kit",satellite and cellular communication options;the satellite communication module should be relatively easy for a field technician to install that way we can easily sell the cellular version to customers and tell them that if that’s not good enough they can always upgrade without shipping back their device,0,0,A,A
260,battery and run time;the transportable will have a power in port for slow battery charging that can be connected or disconnected inside a hazardous area the power in port can be supplied by a solar panel (hazardous locations) or other power supply (non-hazardous locations,battery usage and tracking schedules;to optimize battery life we’ll want the device to have the ability to limit some of the activities that are important for a portable but not as important for transportable this might be a throwback to some of our tracking products,0,0,A,A
1364,"mounting;the transportable can be fixed to a survey tripod “typically threaded with a 5/8"" x 11 tpi screw thread” we’ll want to source our own tripod to sell as a kit",bluetooth;the transportable will need to work with our existing location beacon products,0,0,A,A
2314,bluetooth;the transportable will need to work with our existing location beacon products,battery usage and tracking schedules;updated gas information does not need to continuously be transmitted,0,0,A,A
3997,configurations settings;location,software requirements;as discussed above the transportable will need it’s own configuration page this should be a grouped/shared style configuration like the g7 devices not an individual configuration like the docks transportables will be rented and deployed in batches of 1 - 200 depending on the job  the docks need to be plumbed with gas and updated with a button press  they also have unique cylinder information… though if we bump/cal from a dock it will also have unique cylinder info the cylinder info for transportables can be kept on the device instance page for the transportable,0,0,A,A
2148,calibration and bump test;we would have to have a way to inform any users that a bump or cal is occurring and they are not being monitored the indicator has to be local at the device (for example: sound/yellow blue light) and this will reflect on the portal at the beginning and the end of bump/cal (mode change,pump module;[moved to future scope,0,0,A,A
1169,need a visual way to look at a transportable while in the field and see if it is connected to the network green suresafe connectivity light needs to be visible,configurations settings;sound:;enable/disable toggle,0,0,A,A
2182,calibration and bump test;we would have to have a way to inform any users that a bump or cal is occurring and they are not being monitored the indicator has to be local at the device (for example: sound/yellow blue light) and this will reflect on the portal at the beginning and the end of bump/cal (mode change,push-to-talk: the transportable should be capable of ptt;ptt can be toggled on/off from the server,0,0,A,A
156,battery and run time;the battery pack will not be swappable in a hazardous location,configurations settings;sound:;can we have the speaker say “high gas detected hydrogen sulfide leave the area”? if so we would toggle this on/off,0,0,A,A
3960,configurations settings;sos latch pull: enable/disable toggle,voice calling: a call can be placed to the device without setting it into alarm the channel just opens and the person can talk;we don’t need anything special here other than current g7 voice & ptt capabilities with the g7 we already have the ability to open a voice call without an alarm to device we did this for bs8484 this feature is toggled off by default on all orgs the use case for the transportable opening a communication channel would be a manager using the transportable to communicate an announcement to people in the area this ties into the mass notification mustering idea,0,0,A,A
2018,calibration and bump test;we would like the ability to remotely initiate bump and cals this would of course require the transportable to have the pump module connected to a cylinder,pump module;the pump needs to work with chlorine,1,3,M,M
4030,configurations settings;low battery notification: no auditory local alarm on device just a visual indication of low battery level on the device lcd  we will want the same portal related notifications as g7 such as email and sms  the device technicians are generally in a trailer not in the immediate area so a local alarm for low battery is not helpful,voice calling: a call can be placed to the device without setting it into alarm the channel just opens and the person can talk;calls can be made from the device to a set list of phone numbers,0,0,A,A
2925,pump module;this means that gas alerts need to be accompanied by inlet information for example h2s high gas alert 32 ppm from inlet one,configurations settings;sound:;can we have the speaker say “high gas detected hydrogen sulfide leave the area”? if so we would toggle this on/off,0,0,A,A
3524,configurations settings;pump;maximum hose length: 100 feet minimum 0 feet sample time as a configuration with seconds granularity,battery usage and tracking schedules;to optimize battery life we’ll want the device to have the ability to limit some of the activities that are important for a portable but not as important for transportable this might be a throwback to some of our tracking products,0,0,A,A
1610,mounting;for anti-theft we won’t provide a special locking mechanism if the owners are worried about theft they can bolt it to something,configurations settings;pump;maximum hose length: 100 feet minimum 0 feet sample time as a configuration with seconds granularity,0,0,A,A
1770,gas sensor cartridges;we plan to use our existing four sensor cartridges for the transportable the transportable will not need to interface with the standard (no gas) single sensor or four sensor pumped cartridges it will only need to physically interface with the non-pumped four sensor cartridge,configurations settings;low battery notification: no auditory local alarm on device just a visual indication of low battery level on the device lcd  we will want the same portal related notifications as g7 such as email and sms  the device technicians are generally in a trailer not in the immediate area so a local alarm for low battery is not helpful,0,0,A,A
3508,configurations settings;pump;maximum hose length: 100 feet minimum 0 feet sample time as a configuration with seconds granularity,configurations settings;lights: enable/disable toggle,0,0,A,A
1230,mounting;they are generally fixed to something while transported or during an extended hole watch its reasonable to expect them to be on the ground without a tripod the design should facilitate setting it down on the dirty ground,satellite and cellular communication options;all transportables should communicate with cellular networks like the g7c this would be the standard offering,0,0,A,A
3169,gasless operation: the transportable could also be used as an emergency and evacuation product on a gasless site employees could pull the latch on the transportable;the device will work independent of gas detection,configurations settings;sound:;enable/disable toggle,0,0,A,A
1372,"mounting;the transportable can be fixed to a survey tripod “typically threaded with a 5/8"" x 11 tpi screw thread” we’ll want to source our own tripod to sell as a kit",confined space connectivity;for the shutdown/turnaround market the transportable needs to be able to communicate in confined space this may need further field testing/verification and improvement in future iteration,0,0,A,A
650,battery and run time;the transportable battery pack will have its own independent charge level indicator,movement detection;phil b 1/8/19 requirement changed: we will auto reset in the same way the tracking products did barry will define the details;set as part of the transportable configuration profile “movement detection auto-reset” should be an option when toggled on the transportable would always throw a notification when it is moved obviously it would need a buffer between notifications of around 15-30 minutes also it should not throw an notification for the first 30 minutes after it has been powered on the device would need to be powered down while moving it to avoid notifications,0,0,A,A
1987,calibration and bump test;bump and cals need to be manually initiated from the device,battery usage and tracking schedules;to optimize battery life we’ll want the device to have the ability to limit some of the activities that are important for a portable but not as important for transportable this might be a throwback to some of our tracking products,0,0,A,A
3932,configurations settings;sound:;can we have the speaker say “high gas detected hydrogen sulfide leave the area”? if so we would toggle this on/off,configurations settings;language: same as g7 config,0,0,A,A
2478,movement detection;the detection of motion would result in an alert and/or a notification in the portal,configurations settings;bump;specify which inlets to use for gas and purge we will need a check here if the pump is set to sample from an inlet as well this would be a conflict,0,0,A,A
4166,push-to-talk: the transportable should be capable of ptt;ptt can be toggled on/off from the server,software requirements;the transportable will need more information related to gas alerts depending on what inlet they are coming from for example high gas h2s from inlet 1 or over limit lel from inlet 3,0,0,A,A
1612,mounting;for anti-theft we won’t provide a special locking mechanism if the owners are worried about theft they can bolt it to something,configurations settings;pump;the device has to be available with or without the pump module,0,0,A,A
2144,calibration and bump test;we would have to have a way to inform any users that a bump or cal is occurring and they are not being monitored the indicator has to be local at the device (for example: sound/yellow blue light) and this will reflect on the portal at the beginning and the end of bump/cal (mode change,pump module;the pump module of the transportable will have four inlets each inlet can draw a sample from a different location but not at the same time,0,0,A,A
3732,configurations settings;calibration;specify which inlets to use for gas and purge we will need a check here if the pump is set to sample from an inlet as well,voice calling: a call can be placed to the device without setting it into alarm the channel just opens and the person can talk;we don’t need anything special here other than current g7 voice & ptt capabilities with the g7 we already have the ability to open a voice call without an alarm to device we did this for bs8484 this feature is toggled off by default on all orgs the use case for the transportable opening a communication channel would be a manager using the transportable to communicate an announcement to people in the area this ties into the mass notification mustering idea,0,0,A,A
3317,satellite and cellular communication options;all transportables should communicate with cellular networks like the g7c this would be the standard offering,mass audio notification,0,0,A,A
2627,movement detection;phil b 1/8/19 requirement changed: we will auto reset in the same way the tracking products did barry will define the details;set as part of the transportable configuration profile “movement detection auto-reset” should be an option when toggled on the transportable would always throw a notification when it is moved obviously it would need a buffer between notifications of around 15-30 minutes also it should not throw an notification for the first 30 minutes after it has been powered on the device would need to be powered down while moving it to avoid notifications,certifications;   class 1 div 1 zone 0 what are the weather and water resistance standards for extended outdoor use? temperature - same as g7 specs the device needs to be resistant to rain ip-66/ip-67,0,0,A,A
2289,bluetooth;the transportable will need to work with our existing location beacon products,configurations settings;calibration;automatic calibration on schedule toggle,0,0,A,A
26,battery and run time;60 days run-time without pump,calibration and bump test;we would have to have a way to inform any users that a bump or cal is occurring and they are not being monitored the indicator has to be local at the device (for example: sound/yellow blue light) and this will reflect on the portal at the beginning and the end of bump/cal (mode change,0,0,A,A
441,battery and run time;while fast charging each transportable battery pack will require its own outlet gang charging from a single outlet is not a requirement,software requirements;the transportable will appear on the maps pages with a new icon g7 is a person bridge is a network icon not sure what the transportable should be,0,0,A,A
1500,mounting;the transportable can be hooked to a solar panel in a hazardous zone we’ll want to source our own so that it can be sold with the kit,software requirements;notification profile pages won’t need to change fundamentally we’ll need to add toggle settings for motion alert and a pump blocked (specify inlet,0,0,A,A
1878,need to be able to easily perform bump tests and calibrations at the deployment site without dismantling the transportable;when on site at cp chem the total safety arearae techs would do a daily calibration of each arearae they would walk around with a cylinder connected to a demand flow regulator and cal the devices one at at time they had 22 deployed on the site at the time and would go up to around 40 by the peak of the turn around they would calibration half for the day shift and half at night,pump module;the pump module of the transportable will have four inlets each inlet can draw a sample from a different location but not at the same time,0,0,A,A
2542,movement detection;setting or enabling movement detection should be initiated from the transportable’s lcd menu;and also remotely from the portal,configurations settings;location,0,0,A,A
1486,mounting;the transportable can be hooked to a solar panel in a hazardous zone we’ll want to source our own so that it can be sold with the kit,voice calling: a call can be placed to the device without setting it into alarm the channel just opens and the person can talk;calls can be made from the device to a set list of phone numbers,0,0,A,A
3336,satellite and cellular communication options;we would like to have an option upgrade module which would when installed allow the transportable to also communicate with iridium satellites similar to the bridge,configurations settings;pump;cycle time for each inlet between 1 minute and 60 minutes with the resolution of 1 minute,0,0,A,A
3516,configurations settings;pump;maximum hose length: 100 feet minimum 0 feet sample time as a configuration with seconds granularity,configurations settings;language: same as g7 config,0,0,A,A
4134,voice calling: a call can be placed to the device without setting it into alarm the channel just opens and the person can talk;we don’t need anything special here other than current g7 voice & ptt capabilities with the g7 we already have the ability to open a voice call without an alarm to device we did this for bs8484 this feature is toggled off by default on all orgs the use case for the transportable opening a communication channel would be a manager using the transportable to communicate an announcement to people in the area this ties into the mass notification mustering idea,software requirements;alerts can work the same way they do now on the g7 unacknowledged acknowledged resolved;gas alarms will work the same way they do on g7 - they stop local alarming when gas levels recede but the remote portal alarm is persistent until ack’d  the blue responding indicator will still be present on the transportable we should still resolve alerts that are older than 2 weeks,0,0,A,A
2637,movement detection;phil b 1/8/19 requirement changed: we will auto reset in the same way the tracking products did barry will define the details;set as part of the transportable configuration profile “movement detection auto-reset” should be an option when toggled on the transportable would always throw a notification when it is moved obviously it would need a buffer between notifications of around 15-30 minutes also it should not throw an notification for the first 30 minutes after it has been powered on the device would need to be powered down while moving it to avoid notifications,satellite and cellular communication options;all transportables should communicate with cellular networks like the g7c this would be the standard offering,0,0,A,A
2545,movement detection;setting or enabling movement detection should be initiated from the transportable’s lcd menu;and also remotely from the portal,configurations settings;notification when turned off: when a unit is placed in the field the operator might want to know if someone has tampered with it and turned it off  enable/disable toggle,0,0,A,A
1003,external av port(s);one of the ports will need the ability to stop a generator perhaps the port output alone won’t interface with a generator directly there might be an intermediary the use case is for the transportable to be close to a generator or other non-is equipment if the transportable detectors lel in the area it can shut off the equipment,configurations settings;calibration;calibration schedule setting (# days,0,0,A,A
642,battery and run time;the transportable battery pack will have its own independent charge level indicator,calibration and bump test;we would have to have a way to inform any users that a bump or cal is occurring and they are not being monitored the indicator has to be local at the device (for example: sound/yellow blue light) and this will reflect on the portal at the beginning and the end of bump/cal (mode change,0,0,A,A
2048,calibration and bump test;we would like the ability to remotely initiate bump and cals this would of course require the transportable to have the pump module connected to a cylinder,messages;like the g7 the transportable should be able to receive messages from the server and send pre-canned and custom messages the way the g7 does from the configuration profile we want the ability to toggle-off or disable the ability to send messages from the transportable (we would like this functionality for the g7 as well but that’s a separate consideration) messaging would be available over cellular and satellite,0,0,A,A
3948,configurations settings;sound:;can we have the speaker say “high gas detected hydrogen sulfide leave the area”? if so we would toggle this on/off,software requirements;as discussed above the transportable will need it’s own configuration page this should be a grouped/shared style configuration like the g7 devices not an individual configuration like the docks transportables will be rented and deployed in batches of 1 - 200 depending on the job  the docks need to be plumbed with gas and updated with a button press  they also have unique cylinder information… though if we bump/cal from a dock it will also have unique cylinder info the cylinder info for transportables can be kept on the device instance page for the transportable,0,0,A,A
1603,mounting;for anti-theft we won’t provide a special locking mechanism if the owners are worried about theft they can bolt it to something,gasless operation: the transportable could also be used as an emergency and evacuation product on a gasless site employees could pull the latch on the transportable;ability to use a speaker for communicating with the user,0,0,A,A
3519,configurations settings;pump;maximum hose length: 100 feet minimum 0 feet sample time as a configuration with seconds granularity,voice calling: a call can be placed to the device without setting it into alarm the channel just opens and the person can talk;we don’t need anything special here other than current g7 voice & ptt capabilities with the g7 we already have the ability to open a voice call without an alarm to device we did this for bs8484 this feature is toggled off by default on all orgs the use case for the transportable opening a communication channel would be a manager using the transportable to communicate an announcement to people in the area this ties into the mass notification mustering idea,0,0,A,A
1921,need to be able to easily perform bump tests and calibrations at the deployment site without dismantling the transportable;when on site at cp chem the total safety arearae techs would do a daily calibration of each arearae they would walk around with a cylinder connected to a demand flow regulator and cal the devices one at at time they had 22 deployed on the site at the time and would go up to around 40 by the peak of the turn around they would calibration half for the day shift and half at night,battery usage and tracking schedules;updated gas information does not need to continuously be transmitted,0,0,A,A
3596,configurations settings;pump;the device has to be available with or without the pump module,push-to-talk: the transportable should be capable of ptt;ptt can be toggled on/off from the server,0,0,A,A
3271,gasless operation: the transportable could also be used as an emergency and evacuation product on a gasless site employees could pull the latch on the transportable;from the portal a safety administrator could trigger all of the transportables installed around the site to flash and broadcast verbal messages to “evacuate to muster point b… evacuate to muster point b”,voice calling: a call can be placed to the device without setting it into alarm the channel just opens and the person can talk;calls can be made from the device to a set list of phone numbers,0,0,A,A
4124,messages;like the g7 the transportable should be able to receive messages from the server and send pre-canned and custom messages the way the g7 does from the configuration profile we want the ability to toggle-off or disable the ability to send messages from the transportable (we would like this functionality for the g7 as well but that’s a separate consideration) messaging would be available over cellular and satellite,team alerting requirements (sympathetic alerts,0,0,A,A
1233,mounting;they are generally fixed to something while transported or during an extended hole watch its reasonable to expect them to be on the ground without a tripod the design should facilitate setting it down on the dirty ground,configurations settings;custom name: assigned to the device like naming a dock,0,0,A,A
3887,configurations settings;lights: enable/disable toggle,battery usage and tracking schedules;to optimize battery life we’ll want the device to have the ability to limit some of the activities that are important for a portable but not as important for transportable this might be a throwback to some of our tracking products,0,0,A,A
2509,movement detection;setting or enabling movement detection should be initiated from the transportable’s lcd menu;and also remotely from the portal,movement detection;phil b 1/8/19 requirement changed: we will auto reset in the same way the tracking products did barry will define the details;set as part of the transportable configuration profile “movement detection auto-reset” should be an option when toggled on the transportable would always throw a notification when it is moved obviously it would need a buffer between notifications of around 15-30 minutes also it should not throw an notification for the first 30 minutes after it has been powered on the device would need to be powered down while moving it to avoid notifications,0,0,A,A
443,battery and run time;while fast charging each transportable battery pack will require its own outlet gang charging from a single outlet is not a requirement,software requirements;the transportable will need more information related to gas alerts depending on what inlet they are coming from for example high gas h2s from inlet 1 or over limit lel from inlet 3,0,0,A,A
2240,calibration and bump test;to perform a calibration on certain cartridge configurations the transportable may need to be connected to two or three cylinders multi gas voc and purge this will need to be configured so the transportable knows which inlet to draw from,configurations settings;notification when turned off: when a unit is placed in the field the operator might want to know if someone has tampered with it and turned it off  enable/disable toggle,0,0,A,A
455,battery and run time;the battery pack charge level of the transportable will be sent to the portal so that users can get notifications when a transportable is getting low,external av port(s);one of the ports will need the ability to stop a generator perhaps the port output alone won’t interface with a generator directly there might be an intermediary the use case is for the transportable to be close to a generator or other non-is equipment if the transportable detectors lel in the area it can shut off the equipment,0,0,A,A
2814,certifications;   class 1 div 1 zone 0 what are the weather and water resistance standards for extended outdoor use? temperature - same as g7 specs the device needs to be resistant to rain ip-66/ip-67,configurations settings;bump;ability to not allow bump while in operation on the field,0,0,A,A
3402,satellite and cellular communication options;the satellite communication module should be relatively easy for a field technician to install that way we can easily sell the cellular version to customers and tell them that if that’s not good enough they can always upgrade without shipping back their device,mass audio notification,0,0,A,A
2837,certifications;   class 1 div 1 zone 0 what are the weather and water resistance standards for extended outdoor use? temperature - same as g7 specs the device needs to be resistant to rain ip-66/ip-67,battery usage and tracking schedules;perhaps the device collects it’s logs for a period of time while there is no cell connection periodically it connects and dumps the logs (cellular only) if there is an alert it will quickly try to establish cell connection and report the high gas,0,0,A,A
1705,"the industrial design needs to be rugged tough bulletproof in both visual perception and application it needs to be a heavy duty piece of equipment not a delicate instrument 
the ground around plants and at field sites is uneven and there is random puddles of liquid everywhere for this reason we may want to have small standoff legs to raise the base of the device up an inch or so off the ground

on a similar note arearae techs told me to make sure the device is not top heavy they said that wind can blow the device over if possible we should avoid this but if it does happen we need to make sure it can’t blow over in such a way that it can rest on the ground covering the sensors",voice calling: a call can be placed to the device without setting it into alarm the channel just opens and the person can talk;calls can be made from the device to a set list of phone numbers,0,0,A,A
850,external av port(s);the current concept design has two external av control ports these can be used for external lights or sirens basic binary on/off functionally linked to the transportable’s alarm levels,configurations settings;location,0,0,A,A
1289,mounting;must be able to be carried with one hand,bluetooth;related to the bluetooth regulator project the transportable should have the ability to receive cylinder pressure information,0,0,A,A
654,battery and run time;the transportable battery pack will have its own independent charge level indicator,pump module;the pump module of the transportable will have four inlets each inlet can draw a sample from a different location but not at the same time,0,0,A,A
582,battery and run time;the transportable will have a battery charge level indicator,configurations settings;pump;toggle on/off which inlet(s) to draw from,0,0,A,A
696,battery and run time;the transportable battery pack will have its own independent charge level indicator,battery usage and tracking schedules;updated gps locations can be less frequent perhaps only on motion,0,0,A,A
1281,mounting;must be able to be carried with one hand,gas sensor cartridges;the transportable will need to support all gas combinations available with the four sensor cartridge this could be one to five gases,0,0,A,A
3491,configurations settings;pump;toggle on/off which inlet(s) to draw from,software requirements;the transportable will need more information related to gas alerts depending on what inlet they are coming from for example high gas h2s from inlet 1 or over limit lel from inlet 3,0,0,A,A
1495,mounting;the transportable can be hooked to a solar panel in a hazardous zone we’ll want to source our own so that it can be sold with the kit,software requirements;alerts can work the same way they do now on the g7 unacknowledged acknowledged resolved;gas alarms will work the same way they do on g7 - they stop local alarming when gas levels recede but the remote portal alarm is persistent until ack’d  the blue responding indicator will still be present on the transportable we should still resolve alerts that are older than 2 weeks,0,0,A,A
2070,calibration and bump test;we would like the ability to pre-set a periodic bumps and cals on a schedule that the transportable would execute on independently,bluetooth;related to the bluetooth regulator project the transportable should have the ability to receive cylinder pressure information,0,0,A,A
2275,bluetooth;the transportable will need to work with our existing location beacon products,pump module;[moved to future scope,0,0,A,A
4081,configurations settings;language: same as g7 config,software requirements;the transportable will need more information related to gas alerts depending on what inlet they are coming from for example high gas h2s from inlet 1 or over limit lel from inlet 3,0,0,A,A
797,external av port(s);the current concept design has two external av control ports these can be used for external lights or sirens basic binary on/off functionally linked to the transportable’s alarm levels,mounting;must be able to be carried with one hand,0,0,A,A
1058,external av port(s);it would be useful for the transportable to detect and alarm on all gases but only trigger the shut down on when lel is detected,movement detection;setting or enabling movement detection should be initiated from the transportable’s lcd menu;and also remotely from the portal,0,0,A,A
910,external av port(s);it would be possible to have these av ports configurable sending on/off information for different reasons;it would also be possible to have this ports communicate more complex information to some type of external hardware network,gasless operation: the transportable could also be used as an emergency and evacuation product on a gasless site employees could pull the latch on the transportable;ability to use a speaker for communicating with the user,0,0,A,A
1558,mounting;versatility of mounting is important mounting inserts in the plastic ability to use zip-ties or heavy duty magnets ability to bolt it to a surface,messages;like the g7 the transportable should be able to receive messages from the server and send pre-canned and custom messages the way the g7 does from the configuration profile we want the ability to toggle-off or disable the ability to send messages from the transportable (we would like this functionality for the g7 as well but that’s a separate consideration) messaging would be available over cellular and satellite,0,0,A,A
74,battery and run time;60 days run-time without pump,voice calling: a call can be placed to the device without setting it into alarm the channel just opens and the person can talk;we don’t need anything special here other than current g7 voice & ptt capabilities with the g7 we already have the ability to open a voice call without an alarm to device we did this for bs8484 this feature is toggled off by default on all orgs the use case for the transportable opening a communication channel would be a manager using the transportable to communicate an announcement to people in the area this ties into the mass notification mustering idea,0,0,A,A
2510,movement detection;setting or enabling movement detection should be initiated from the transportable’s lcd menu;and also remotely from the portal,movement detection;if motion detection auto-reset is disabled the user can still choose to set a one time motion detection this should be initiated from the portal once triggered it would need to be reset each time in the portal this set/reset feature could be in the info-bar,0,0,A,A
1507,mounting;versatility of mounting is important mounting inserts in the plastic ability to use zip-ties or heavy duty magnets ability to bolt it to a surface,need to be able to easily perform bump tests and calibrations at the deployment site without dismantling the transportable;when on site at cp chem the total safety arearae techs would do a daily calibration of each arearae they would walk around with a cylinder connected to a demand flow regulator and cal the devices one at at time they had 22 deployed on the site at the time and would go up to around 40 by the peak of the turn around they would calibration half for the day shift and half at night,0,0,A,A
310,battery and run time;the transportable battery pack can be removed for fast charging outside of a hazardous location,pump module;the inlets will need to be configurable over the air via the portal if they are used to sample calibrate zero or purge,0,0,A,A
209,battery and run time;the transportable will have a power in port for slow battery charging that can be connected or disconnected inside a hazardous area the power in port can be supplied by a solar panel (hazardous locations) or other power supply (non-hazardous locations,bluetooth;the transportable will need to work with our existing location beacon products,0,0,A,A
3208,gasless operation: the transportable could also be used as an emergency and evacuation product on a gasless site employees could pull the latch on the transportable;ability to use a speaker for communicating with the user,configurations settings;calibration;calibration schedule setting (# days,0,0,A,A
635,battery and run time;the transportable battery pack will have its own independent charge level indicator,"the industrial design needs to be rugged tough bulletproof in both visual perception and application it needs to be a heavy duty piece of equipment not a delicate instrument 
the ground around plants and at field sites is uneven and there is random puddles of liquid everywhere for this reason we may want to have small standoff legs to raise the base of the device up an inch or so off the ground

on a similar note arearae techs told me to make sure the device is not top heavy they said that wind can blow the device over if possible we should avoid this but if it does happen we need to make sure it can’t blow over in such a way that it can rest on the ground covering the sensors",0,0,A,A
